id,model,outcome,cot,intervention_mean,intervention_sd,intervention_n,control_mean,control_sd,control_n,time,human_time,input_tokens,output_tokens,total_tokens
#323-14,gpt,,"The article identifies cancer pain assessed using the WHO numerical rating scale (NRS), but the reported results are categorical pain relief outcomes: complete remission, partial remission, and no remission. These do not provide post-intervention pain intensity means and SDs, so they do not strictly match the requested continuous pain intensity outcome. Although each arm had 44 patients, the matched outcome data required for extraction are not reported. Therefore no pain intensity mean/SD data can be extracted.",,,,,,,6.87,0.0,4344,382,4726
#323-14,deepseek,,"The article reports on cancer pain using the Numerical Rating Scale (NRS) but only provides categorical outcomes (complete remission, partial remission, no remission) as counts and percentages (Table 2). There are no continuous mean and standard deviation values for pain intensity after intervention. Thus, pain intensity as a continuous measure is not available.",,,,,,,4.6,0.0,4020,214,4234
#323-14,final_consensus,,"The article identifies cancer pain assessed using the WHO numerical rating scale (NRS), but the reported results are categorical pain relief outcomes: complete remission, partial remission, and no remission. These do not provide post-intervention pain intensity means and SDs, so they do not strictly match the requested continuous pain intensity outcome. Although each arm had 44 patients, the matched outcome data required for extraction are not reported. Therefore no pain intensity mean/SD data can be extracted.",,,,,,,11.469999999999999,0.0,8364,596,8960
#323-15,gpt,,"The article reports a pain-related outcome: cancer pain improvement categorized by NRS score reduction after treatment (complete, partial, or no improvement). It does not report post-intervention pain intensity scores as means with SDs for either group. Because the reported categorical improvement does not strictly match the requested outcome of pain intensity after intervention, no extractable mean/SD data are available.",,,,,,,10.11,0.0,3442,626,4068
#323-15,deepseek,,"The article reports cancer pain improvement using NRS categories (complete improvement, partial improvement, no improvement) as counts, but does not provide continuous pain intensity scores (mean and SD) after intervention. QLQ-C30 is a quality-of-life measure, not pain intensity. Thus, no pain intensity mean and SD data are available for extraction.",,,,,,,7.4,0.0,3129,434,3563
#323-15,final_consensus,,"The article reports a pain-related outcome: cancer pain improvement categorized by NRS score reduction after treatment (complete, partial, or no improvement). It does not report post-intervention pain intensity scores as means with SDs for either group. Because the reported categorical improvement does not strictly match the requested outcome of pain intensity after intervention, no extractable mean/SD data are available.",,,,,,,17.509999999999998,0.0,6571,1060,7631
#323-16,gpt,Pain intensity (VAS score) after intervention,"The article reports pain intensity using the visual analogue scale (VAS), which strictly matches the requested pain intensity outcome. Table 2 provides post-intervention pain VAS scores for both arms after 4 chemotherapy cycles. The treatment/intervention group had n=30 and the control group had n=30. Post-treatment VAS mean ± SD was 3.45 ± 1.11 in the intervention group and 5.72 ± 1.23 in the control group.",3.45,1.11,30,5.72,1.23,30,7.07,0.0,4367,362,4729
#323-16,deepseek,pain intensity (VAS),The article reports pain intensity using the Visual Analogue Scale (VAS). Table 2 presents post-intervention VAS scores for both groups. The treatment group (Kanglaite injection + chemotherapy) has a mean VAS of 3.45 (SD 1.11) with n=30. The control group (chemotherapy only) has a mean VAS of 5.72 (SD 1.23) with n=30. This matches the requested outcome of pain intensity after intervention.,3.45,1.11,30,5.72,1.23,30,5.22,0.0,3961,334,4295
#323-16,final_consensus,Pain intensity (VAS score) after intervention,"The article reports pain intensity using the visual analogue scale (VAS), which strictly matches the requested pain intensity outcome. Table 2 provides post-intervention pain VAS scores for both arms after 4 chemotherapy cycles. The treatment/intervention group had n=30 and the control group had n=30. Post-treatment VAS mean ± SD was 3.45 ± 1.11 in the intervention group and 5.72 ± 1.23 in the control group.",3.45,1.11,30,5.72,1.23,30,12.29,0.0,8328,696,9024
#323-17,gpt,,"The article assesses pain using VRS pain grades and reports analgesic response categories (markedly effective, effective, ineffective) after treatment. However, it does not report post-intervention pain intensity as a continuous outcome with mean and SD. The only pain-related numerical data are responder counts and total effective rates, which do not strictly match the requested pain intensity mean/SD outcome. Therefore, the requested outcome data cannot be extracted.",,,,,,,6.0,0.0,2630,335,2965
#323-17,deepseek,,"The study reports pain intensity using a verbal rating scale (VRS) categorical classification and presents results as counts (e.g., marked improvement, effective, ineffective). No continuous mean and standard deviation for pain intensity after intervention are reported. Therefore, no matching pain intensity outcome with mean and SD is available.",,,,,,,13.7,0.0,2335,926,3261
#323-17,final_consensus,,"The article assesses pain using VRS pain grades and reports analgesic response categories (markedly effective, effective, ineffective) after treatment. However, it does not report post-intervention pain intensity as a continuous outcome with mean and SD. The only pain-related numerical data are responder counts and total effective rates, which do not strictly match the requested pain intensity mean/SD outcome. Therefore, the requested outcome data cannot be extracted.",,,,,,,19.7,0.0,4965,1261,6226
#323-18,gpt,,"The article assesses quality of life including pain using WHO numeric rating scale categories, but the reported result is only the number/percentage of patients with pain disappeared or relieved. This is a pain-related responder outcome, not post-intervention pain intensity as a mean value. No post-intervention pain intensity means or SDs are reported for either arm. Therefore the requested continuous pain intensity outcome cannot be extracted.",,,,,,,7.92,0.0,3368,483,3851
#323-18,deepseek,,"The article mentions pain intensity using NRS but only reports categorical outcomes (pain disappearance or reduction rates) in Table 3, not mean pain intensity scores or standard deviations. No continuous pain intensity data after intervention are provided. Therefore, no outcome matching the requested definition is available.",,,,,,,6.17,0.0,3140,327,3467
#323-18,final_consensus,,"The article assesses quality of life including pain using WHO numeric rating scale categories, but the reported result is only the number/percentage of patients with pain disappeared or relieved. This is a pain-related responder outcome, not post-intervention pain intensity as a mean value. No post-intervention pain intensity means or SDs are reported for either arm. Therefore the requested continuous pain intensity outcome cannot be extracted.",,,,,,,14.09,0.0,6508,810,7318
#323-19,gpt,,"The article assesses cancer pain using a 0–10 VRS/NRS-like pain grading method, but the reported results are categorical pain relief outcomes (CR, PR, NC, RR) rather than post-intervention pain intensity mean scores. The evaluable sample sizes were 10 in the Kanglaite plus GP group and 10 in the GP control group. No post-intervention mean pain intensity values are reported for either group. No standard deviations for pain intensity are reported. Because the available pain-related outcomes do not strictly match the requested continuous pain intensity outcome, no extractable mean/SD data are available.",,,,,,,6.45,0.0,1789,273,2062
#323-19,deepseek,,"The study reports pain control outcomes using a categorical scale (CR, PR, NC) and overall response rates, but does not provide post-intervention mean pain intensity or standard deviations on a continuous scale. As the required outcome of mean pain intensity with SD cannot be extracted, the result is null.",,,,,,,6.76,0.0,1599,410,2009
