id,model,outcome,cot,intervention_event,intervention_n,control_event,control_n,time,human_time,input_tokens,output_tokens,total_tokens
#4-10,gpt,liver and kidney function impairment,,,,,,5.23,0.0,1551,238,1789
#4-10,deepseek,,,,,,,5.28,0.0,1406,280,1686
#4-10,final_consensus,liver and kidney function impairment,,,,,,10.510000000000002,0.0,2957,518,3475
#4-11,gpt,liver and kidney function impairment,,,,,,5.01,0.0,1629,181,1810
#4-11,deepseek,,,,,,,9.46,0.0,1428,621,2049
#4-11,final_consensus,liver and kidney function impairment,,,,,,14.47,0.0,3057,802,3859
#4-12,gpt,liver and kidney function impairment (grade ≥1),,16,49,22,49,4.28,0.0,3765,131,3896
#4-12,deepseek,liver and kidney function impairment,,16,49,22,49,4.0,0.0,3440,273,3713
#4-12,final_consensus,liver and kidney function impairment (grade ≥1),,16,49,22,49,8.280000000000001,0.0,7205,404,7609
#4-13,gpt,liver and kidney function impairment,,,,,,6.6,0.0,2459,517,2976
#4-13,deepseek,liver and kidney function impairment,,,,,,14.76,0.0,2216,997,3213
#4-13,final_consensus,liver and kidney function impairment,,,,,,21.36,0.0,4675,1514,6189
#4-14,gpt,liver and kidney function impairment (grade >=1),,11,35,18,35,3.37,0.0,2932,125,3057
#4-14,deepseek,Impaired of liver and renal function,,11,35,18,35,4.24,0.0,2681,258,2939
#4-14,final_consensus,liver and kidney function impairment (grade >=1),,11,35,18,35,7.61,0.0,5613,383,5996
#4-4,gpt,,,,,,,2.12,0.0,1104,108,1212
#4-4,deepseek,,,,,,,5.16,0.0,993,389,1382
#4-4,final_consensus,,,,,,,7.28,0.0,2097,497,2594
#4-5,gpt,,,,,,,5.53,0.0,4721,299,5020
#4-5,deepseek,,,,,,,9.83,0.0,4416,687,5103
#4-5,final_consensus,,,,,,,15.36,0.0,9137,986,10123
#4-6,gpt,liver and kidney function impairment,,,,,,7.14,0.0,3293,161,3454
#4-6,deepseek,liver and kidney function impairment,,,12,,12,9.08,0.0,3032,649,3681
#4-6,final_human_override,liver and kidney function impairment,,,,,,16.22,21.46,6325,810,7135
#4-7,gpt,liver and kidney function impairment,,,,,,3.77,0.0,4384,161,4545
#4-7,deepseek,,,,,,,7.24,0.0,3832,488,4320
#4-7,final_consensus,liver and kidney function impairment,,,,,,11.01,0.0,8216,649,8865
#4-8,gpt,liver and kidney function impairment,,,,,,4.63,0.0,3520,130,3650
#4-8,deepseek,,,,,,,5.06,0.0,3253,351,3604
#4-8,final_consensus,liver and kidney function impairment,,,,,,9.69,0.0,6773,481,7254
#4-9,gpt,liver and kidney function impairment,,,,,,4.47,0.0,2612,190,2802
#4-9,deepseek,,,,,,,4.85,0.0,2331,337,2668
#4-9,final_consensus,liver and kidney function impairment,,,,,,9.32,0.0,4943,527,5470
