id,model,outcome,cot,intervention_mean,intervention_sd,intervention_n,control_mean,control_sd,control_n,time,human_time,input_tokens,output_tokens,total_tokens
#13-10,gpt,,"The article reports clinical efficacy, adverse reactions, KPS/body weight changes, and routine blood/liver/kidney/cardiac monitoring. It does not report any CD4+ level outcome after intervention, nor any table with CD4+ means or SDs. Although the discussion mentions improved immune function generally, no CD4+ data are provided. Therefore the requested outcome does not strictly match any reported extractable outcome.",,,,,,,11.98,0,4617,646,5263
#13-10,deepseek,,"The article studies Kanglaite injection combined with chemotherapy for advanced NSCLC. Outcomes reported include tumor response, toxicity (bone marrow suppression, nausea, etc.), KPS score, and body weight. There is no mention of CD4+ level or any immune cell counts. Therefore, the CD4+ outcome is not available.",,,,,,,16.37,0,4063,930,4993
#13-10,final_consensus,,"The article reports clinical efficacy, adverse reactions, KPS/body weight changes, and routine blood/liver/kidney/cardiac monitoring. It does not report any CD4+ level outcome after intervention, nor any table with CD4+ means or SDs. Although the discussion mentions improved immune function generally, no CD4+ data are provided. Therefore the requested outcome does not strictly match any reported extractable outcome.",,,,,,,28.35,0,8680,1576,10256
#13-11,gpt,,"The article reports outcomes including tumor response (CR/PR/SD/PD), clinical benefit rate, KPS quality of life, and toxicities such as nausea/vomiting, leukopenia, thrombocytopenia, anemia, fatigue, and anorexia. No CD4+ level outcome is reported after intervention; there are no immune-cell subset measurements or CD4+ means/SDs. Although blood count toxicities are mentioned, they do not match the requested CD4+ level definition. Therefore no sample sizes, means, or SDs can be extracted for CD4+ level.",,,,,,,8.22,0,2368,261,2629
#13-11,deepseek,,"The article describes a trial on Kanglaite injection combined with chemotherapy for NSCLC. Outcomes reported include response rates, clinical benefit, KPS, and toxicity, but no CD4+ level measurements or any lymphocyte subset data are mentioned. The outcome of interest (CD4+ level) is not reported at all.",,,,,,,17.68,0,2107,904,3011
#13-11,final_consensus,,"The article reports outcomes including tumor response (CR/PR/SD/PD), clinical benefit rate, KPS quality of life, and toxicities such as nausea/vomiting, leukopenia, thrombocytopenia, anemia, fatigue, and anorexia. No CD4+ level outcome is reported after intervention; there are no immune-cell subset measurements or CD4+ means/SDs. Although blood count toxicities are mentioned, they do not match the requested CD4+ level definition. Therefore no sample sizes, means, or SDs can be extracted for CD4+ level.",,,,,,,25.9,0,4475,1165,5640
#13-12,gpt,,"The article reports serum CEA, CYFRA21-1, and SCC levels before and after 2 treatment cycles, along with tumor response and toxicity outcomes. It does not report CD4+ level or any T-lymphocyte subset outcome. Although immune/toxicity-related indicators such as granulocyte reduction are mentioned, they do not strictly match CD4+ level. Therefore, no eligible CD4+ post-intervention mean, SD, or sample size can be extracted.",,,,,,,7.07,0,3999,358,4357
#13-12,deepseek,,"The requested outcome is CD4+ level. The article reports outcomes including serum CEA, CYFRA21-1, SCC, treatment response (CR, PR, SD, PD, RR), and toxicity (digestive tract reaction, granulocyte reduction, thrombocytopenia, anemia). No CD4+ level or any T-cell subset data are mentioned anywhere in the text. Therefore, no matching outcome exists.",,,,,,,5.94,0,3714,223,3937
#13-12,final_consensus,,"The article reports serum CEA, CYFRA21-1, and SCC levels before and after 2 treatment cycles, along with tumor response and toxicity outcomes. It does not report CD4+ level or any T-lymphocyte subset outcome. Although immune/toxicity-related indicators such as granulocyte reduction are mentioned, they do not strictly match CD4+ level. Therefore, no eligible CD4+ post-intervention mean, SD, or sample size can be extracted.",,,,,,,13.010000000000002,0,7713,581,8294
#13-13,gpt,CD4+ level,"The article reports immune indicators including CD3+, CD4+, CD8+, CD4+/CD8+, and NK; CD4+ strictly matches the requested CD4+ level outcome. Table 4 presents immune indicators as mean ± SD with n=30 for each group. The post-intervention CD4+ value for the treatment/intervention group is 39.68 ± 8.04. The post-intervention CD4+ value for the control group is 30.54 ± 10.21. Therefore, the matched outcome data after intervention can be extracted from Table 4.",39.68,8.04,30,30.54,10.21,30,6.07,0,3216,311,3527
