id,model,outcome,cot,intervention_event,intervention_n,control_event,control_n,time,human_time,input_tokens,output_tokens,total_tokens
#16-10,gpt,,"The article reports clinical efficacy using WHO solid tumor response criteria: complete response, partial response, no change, and progression, with total remission rate calculated as complete response plus partial response. The requested outcome is clinical symptom improvement rate defined as marked improvement plus partial improvement in symptoms. The reported outcome is tumor remission/objective response, not a symptom improvement outcome with marked plus partial improvement categories. Therefore, no outcome strictly matching the requested definition is available for extraction.",,,,,7.92,0.0,3836,447,4283
#16-10,deepseek,,"The article reports clinical efficacy using WHO criteria for solid tumors: complete remission and partial remission, termed 'total remission rate'. This is tumor response, not clinical symptom improvement rate. There are no outcomes defined as marked improvement plus partial improvement in clinical symptoms. Thus, no matched outcome.",,,,,3.96,0.0,3493,172,3665
#16-10,final_consensus,,"The article reports clinical efficacy using WHO solid tumor response criteria: complete response, partial response, no change, and progression, with total remission rate calculated as complete response plus partial response. The requested outcome is clinical symptom improvement rate defined as marked improvement plus partial improvement in symptoms. The reported outcome is tumor remission/objective response, not a symptom improvement outcome with marked plus partial improvement categories. Therefore, no outcome strictly matching the requested definition is available for extraction.",,,,,11.879999999999999,0.0,7329,619,7948
#16-11,gpt,,"The article reports tumor response using RECIST criteria with CR, PR, PD, SD and total effective rate defined as CR+PR, and also reports KPS quality-of-life categories. The requested outcome is clinical symptom improvement rate defined specifically as marked improvement plus partial improvement. No outcome using marked improvement plus partial improvement in clinical symptoms is reported. Therefore, the reported CR+PR tumor response and KPS improvement outcomes do not strictly match the requested definition, so no data are extracted.",,,,,4.96,0.0,2009,367,2376
#16-11,deepseek,,"The article reports tumor response rate (CR+PR) and quality of life improvement via KPS score (提高, stable, decrease). The requested outcome is clinical symptom improvement rate defined as marked improvement plus partial improvement. The article's KPS improvement is a single category without subdivision into marked and partial, and the tumor response is not a symptom improvement measure. Therefore, no outcome matches the specified definition.",,,,,8.88,0.0,1786,688,2474
#16-11,final_consensus,,"The article reports tumor response using RECIST criteria with CR, PR, PD, SD and total effective rate defined as CR+PR, and also reports KPS quality-of-life categories. The requested outcome is clinical symptom improvement rate defined specifically as marked improvement plus partial improvement. No outcome using marked improvement plus partial improvement in clinical symptoms is reported. Therefore, the reported CR+PR tumor response and KPS improvement outcomes do not strictly match the requested definition, so no data are extracted.",,,,,13.84,0.0,3795,1055,4850
#16-12,gpt,clinical symptom improvement rate,"The article reports a clinical symptom improvement outcome in Table 2 with categories 明显改善 (marked improvement), 部分改善 (partial improvement), and 无改善 (no improvement). This matches the requested definition because the improvement rate is the sum of marked plus partial improvement. The intervention arm is the KLT+TACE treatment group with 31 patients, and events are 16+11=27. The control arm is TACE alone with 25 patients, and events are 5+8=13. The reported improvement rates, 87.1% and 52.0%, are consistent with these counts.",27,31,13,25,4.39,0.0,2748,253,3001
#16-12,deepseek,Clinical symptom improvement rate,"The article reports a RCT comparing Kanglaite injection plus TACE (treatment group) vs. TACE alone (control group) in liver cancer. The outcome of interest is clinical symptom improvement rate defined as marked improvement plus partial improvement. Table 2 provides the data: treatment group has 31 patients, with 16 marked improvement and 11 partial improvement, giving total improved = 27. Control group has 25 patients, with 5 marked improvement and 8 partial improvement, total improved = 13. These counts match the requested definition exactly.",27,31,13,25,7.25,0.0,2481,574,3055
#16-12,final_consensus,clinical symptom improvement rate,"The article reports a clinical symptom improvement outcome in Table 2 with categories 明显改善 (marked improvement), 部分改善 (partial improvement), and 无改善 (no improvement). This matches the requested definition because the improvement rate is the sum of marked plus partial improvement. The intervention arm is the KLT+TACE treatment group with 31 patients, and events are 16+11=27. The control arm is TACE alone with 25 patients, and events are 5+8=13. The reported improvement rates, 87.1% and 52.0%, are consistent with these counts.",27,31,13,25,11.64,0.0,5229,827,6056
#16-13,gpt,,"The article reports several improvement/response outcomes: solid tumor remission (complete remission + partial remission), AFP improvement, Karnofsky quality-of-life improvement, liver function changes, and adverse reactions. The requested outcome is clinical symptom improvement rate defined specifically as marked improvement plus partial improvement. No outcome in the article reports clinical symptom improvement using marked improvement and partial improvement categories. The tumor remission outcome uses complete remission plus partial remission and is not a clinical symptom improvement rate as defined. Therefore, no strictly matching outcome is available for extraction.",,,,,6.36,0.0,4141,341,4482
