id,model,outcome,cot,intervention_event,intervention_n,control_event,control_n,time,human_time,input_tokens,output_tokens,total_tokens
#27-15,gpt,胃肠道反应,,17,35,24,35,5.38,0,3646,208,3854
#27-15,deepseek,胃肠道反应,,17,35,24,35,8.02,0,3254,471,3725
#27-15,final_consensus,胃肠道反应,,17,35,24,35,13.399999999999999,0,6900,679,7579
#27-16,gpt,,,,,,,4.61,0,3405,72,3477
#27-16,deepseek,,,,,,,2.33,0,3050,78,3128
#27-16,final_consensus,,,,,,,6.94,0,6455,150,6605
#27-17,gpt,,,,,,,3.35,0,5577,119,5696
#27-17,deepseek,,,,,,,2.72,0,5090,94,5184
#27-17,final_consensus,,,,,,,6.07,0,10667,213,10880
#27-18,gpt,,,,,,,3.27,0,4066,137,4203
#27-18,deepseek,,,,,,,3.95,0,3622,147,3769
#27-18,final_consensus,,,,,,,7.220000000000001,0,7688,284,7972
#27-19,gpt,,,,,,,4.57,0,5395,195,5590
#27-19,deepseek,,,,,,,5.31,0,4832,325,5157
#27-19,final_consensus,,,,,,,9.879999999999999,0,10227,520,10747
#27-20,gpt,胃肠道反应,,16,60,25,60,5.18,0,7786,222,8008
#27-20,deepseek,胃肠道反应,,16,60,25,60,12.39,0,7037,706,7743
#27-20,final_consensus,胃肠道反应,,16,60,25,60,17.57,0,14823,928,15751
#27-21,gpt,,,,,,,2.81,0,4203,57,4260
#27-21,deepseek,,,,,,,3.21,0,3767,155,3922
#27-21,final_consensus,,,,,,,6.02,0,7970,212,8182
#27-22,gpt,,,,,,,3.22,0,4950,139,5089
#27-22,deepseek,,,,,,,4.22,0,4430,204,4634
#27-22,final_consensus,,,,,,,7.4399999999999995,0,9380,343,9723
#27-23,gpt,,,,,,,6.57,0,5010,301,5311
#27-23,deepseek,,,,,,,3.58,0,4604,101,4705
#27-23,final_consensus,,,,,,,10.15,0,9614,402,10016
#27-24,gpt,,,,,,,2.46,0,5633,95,5728
#27-24,deepseek,,,,,,,3.41,0,5031,190,5221
#27-24,final_consensus,,,,,,,5.87,0,10664,285,10949
#27-25,gpt,胃肠道反应,,14,35,26,35,4.98,0,3204,128,3332
#27-25,deepseek,胃肠道反应,,14,35,26,35,3.58,0,2800,205,3005
#27-25,final_consensus,胃肠道反应,,14,35,26,35,8.56,0,6004,333,6337
#27-26,gpt,胃肠道反应,,27,42,29,40,3.93,0,5190,181,5371
#27-26,deepseek,胃肠道反应,,27,42,29,40,3.87,0,4532,185,4717
#27-26,final_consensus,胃肠道反应,,27,42,29,40,7.800000000000001,0,9722,366,10088
#27-27,gpt,,,,,,,2.48,0,3514,83,3597
#27-27,deepseek,,,,,,,3.0,0,3040,89,3129
#27-27,final_consensus,,,,,,,5.48,0,6554,172,6726
#27-28,gpt,,,,,,,4.55,0,3114,248,3362
#27-28,deepseek,,,,,,,6.9,0,2765,513,3278
#27-28,final_consensus,,,,,,,11.45,0,5879,761,6640
