id,model,outcome,cot,intervention_mean,intervention_sd,intervention_n,control_mean,control_sd,control_n,time,human_time,input_tokens,output_tokens,total_tokens
#18-10,gpt,,"The article reports immune function outcomes CD3+, CD4+, and CD8+ before and after treatment, but does not report Immunoglobulin G (IgG) levels. No IgG outcome strictly matching the requested definition is available. Therefore, no post-intervention IgG means, SDs, or outcome-specific sample sizes can be extracted.",,,,,,,15.29,0.0,3168,346,3514
#18-10,deepseek,,"The article reports on immune function outcomes, specifically CD3+, CD4+, and CD8+ T cell levels, but does not report IgG (Immunoglobulin G) levels. No immunoglobulin measures (IgG, IgA, IgM, IgE, etc.) are provided. Therefore, no outcome matches the requested IgG level definition.",,,,,,,6.15,0.0,2819,249,3068
#18-10,final_consensus,,"The article reports immune function outcomes CD3+, CD4+, and CD8+ before and after treatment, but does not report Immunoglobulin G (IgG) levels. No IgG outcome strictly matching the requested definition is available. Therefore, no post-intervention IgG means, SDs, or outcome-specific sample sizes can be extracted.",,,,,,,21.439999999999998,0.0,5987,595,6582
#18-11,gpt,IgG level (g/L) after intervention,"The article reports serum immunoglobulin outcomes IgM, IgA, and IgG; IgG strictly matches the requested outcome. Table 3 provides immunoglobulin levels before and after treatment, with values reported as mean ± SD in g/L. The matched post-intervention IgG values are in the '治疗后' rows. The intervention arm is the observation group receiving Kanglaite Injection plus GP, with n=43, IgG 9.89 ± 0.70. The control arm received GP alone, with n=42, IgG 9.59 ± 0.57.",9.89,0.70,43,9.59,0.57,42,11.94,0.0,4909,402,5311
#18-11,deepseek,IgG level (Immunoglobulin G),"The article reports immunoglobulin levels including IgG, IgA, and IgM. Table 3 provides IgG data after treatment. The intervention (observation group, Kanglaite + GP) had n=43, mean IgG 9.89 g/L, SD 0.70. The control group (GP alone) had n=42, mean IgG 9.59 g/L, SD 0.57. This matches the requested outcome definition (IgG level after intervention).",9.89,0.70,43,9.59,0.57,42,11.49,0.0,4483,538,5021
#18-11,final_consensus,IgG level (g/L) after intervention,"The article reports serum immunoglobulin outcomes IgM, IgA, and IgG; IgG strictly matches the requested outcome. Table 3 provides immunoglobulin levels before and after treatment, with values reported as mean ± SD in g/L. The matched post-intervention IgG values are in the '治疗后' rows. The intervention arm is the observation group receiving Kanglaite Injection plus GP, with n=43, IgG 9.89 ± 0.70. The control arm received GP alone, with n=42, IgG 9.59 ± 0.57.",9.89,0.70,43,9.59,0.57,42,23.43,0.0,9392,940,10332
#18-12,gpt,,"The article reports immune-function outcomes CD3, CD4, CD8, and CD4/CD8 before and after treatment, but it does not report IgG (Immunoglobulin G). Although the randomized groups each included 36 patients, no IgG-specific post-intervention mean or SD is provided. Therefore, the requested IgG outcome is not extractable.",,,,,,,9.85,0.0,2331,608,2939
#18-12,deepseek,,"The article reports immune function outcomes, specifically T lymphocyte subsets (CD3, CD4, CD8, CD4/CD8) but does not report IgG levels or any immunoglobulin measures. No outcome matches the requested IgG level.",,,,,,,7.6,0.0,2169,442,2611
#18-12,final_consensus,,"The article reports immune-function outcomes CD3, CD4, CD8, and CD4/CD8 before and after treatment, but it does not report IgG (Immunoglobulin G). Although the randomized groups each included 36 patients, no IgG-specific post-intervention mean or SD is provided. Therefore, the requested IgG outcome is not extractable.",,,,,,,17.45,0.0,4500,1050,5550
#18-13,gpt,,"The article reports immune-related outcomes including CD3, CD4, CD8, CD4/CD8, and NK cell activity after 3 treatment cycles. It also reports Hgb, WBC, and PLT, but no Immunoglobulin G (IgG) level is reported. Since no outcome strictly matching IgG is available, no sample size, mean, or SD can be extracted for IgG.",,,,,,,8.25,0.0,3363,396,3759
#18-13,deepseek,,"The study reports immune indices (CD3, CD4, CD8, CD4/CD8, NK cell activity) but does not include IgG level. No immunoglobulin G data is presented.",,,,,,,14.44,0.0,3078,949,4027
#18-13,final_consensus,,"The article reports immune-related outcomes including CD3, CD4, CD8, CD4/CD8, and NK cell activity after 3 treatment cycles. It also reports Hgb, WBC, and PLT, but no Immunoglobulin G (IgG) level is reported. Since no outcome strictly matching IgG is available, no sample size, mean, or SD can be extracted for IgG.",,,,,,,22.689999999999998,0.0,6441,1345,7786
#18-14,gpt,,"The article reports immune-related outcomes including CD3+, CD4+, CD4+/CD8+, NK cells, and inflammatory markers including IL-6, TNF-alpha, and C-reactive protein. It does not report Immunoglobulin G (IgG) levels after intervention. Although immune status is assessed, no immunoglobulin outcome matching IgG is presented. Therefore, no mean, SD, or sample size can be extracted for the requested IgG outcome.",,,,,,,13.2,0.0,4889,619,5508
#18-14,deepseek,,"The article reports immune status outcomes including T lymphocyte subsets (CD3+, CD4+, CD4+/CD8+) and NK cells, but does not measure or report IgG levels. No immunoglobulin-related indicators (IgG, IgM, IgA, IgE, etc.) are mentioned. Therefore, the requested outcome (IgG level after intervention) is not available.",,,,,,,4.33,0.0,4466,242,4708
#18-14,final_consensus,,"The article reports immune-related outcomes including CD3+, CD4+, CD4+/CD8+, NK cells, and inflammatory markers including IL-6, TNF-alpha, and C-reactive protein. It does not report Immunoglobulin G (IgG) levels after intervention. Although immune status is assessed, no immunoglobulin outcome matching IgG is presented. Therefore, no mean, SD, or sample size can be extracted for the requested IgG outcome.",,,,,,,17.53,0.0,9355,861,10216
#18-15,gpt,,"The article reports immune-related outcomes only as T-cell subsets (CD3, CD4, CD8, CD4/CD8) before and after treatment. No Immunoglobulin G (IgG) level outcome is reported; there are also no IgG means or SDs in any table or text. The available sample sizes are 39 in the experimental group and 41 in the control group overall, but they are not tied to an IgG outcome. Because the requested IgG outcome is absent, no post-intervention IgG mean or SD can be extracted.",,,,,,,6.76,0.0,3826,370,4196
#18-15,deepseek,,"The article evaluates Kanglaite injection with chemotherapy in NSCLC. The outcomes reported are tumor response, adverse events, KPS, body weight, and T cell subsets (CD3, CD4, CD8). There is no mention of immunoglobulin G (IgG) levels or any other immunoglobulin (IgM, IgA, IgE). Therefore, no IgG outcome data can be extracted. Returning null fields.",,,,,,,5.22,0.0,3571,260,3831
#18-15,final_consensus,,"The article reports immune-related outcomes only as T-cell subsets (CD3, CD4, CD8, CD4/CD8) before and after treatment. No Immunoglobulin G (IgG) level outcome is reported; there are also no IgG means or SDs in any table or text. The available sample sizes are 39 in the experimental group and 41 in the control group overall, but they are not tied to an IgG outcome. Because the requested IgG outcome is absent, no post-intervention IgG mean or SD can be extracted.",,,,,,,11.98,0.0,7397,630,8027
#18-16,gpt,,"The article reports immune-function outcomes including CD3, CD4, CD8, CD4/CD8, and NKT cell activity before and after treatment. It does not report Immunoglobulin G (IgG) levels after intervention. Although both arms had 43 participants, these sample sizes relate to other immune markers, not IgG. Therefore, no IgG mean or SD can be extracted.",,,,,,,10.45,0.0,3840,568,4408
#18-16,deepseek,,"The article reports on T lymphocyte subsets (CD3, CD4, CD8, CD4/CD8) and NKT cell activity as immune markers, but does not mention IgG, IgM, IgA, IgE, or any immunoglobulin levels. Therefore, no IgG outcome is available.",,,,,,,9.04,0.0,3416,646,4062
#18-16,final_consensus,,"The article reports immune-function outcomes including CD3, CD4, CD8, CD4/CD8, and NKT cell activity before and after treatment. It does not report Immunoglobulin G (IgG) levels after intervention. Although both arms had 43 participants, these sample sizes relate to other immune markers, not IgG. Therefore, no IgG mean or SD can be extracted.",,,,,,,19.49,0.0,7256,1214,8470
#18-17,gpt,,"The article reports immune-function outcomes including T-cell subsets CD3+, CD4+, CD8+, and CD4+/CD8+, plus clinical response and adverse reactions. It does not report IgG (Immunoglobulin G) levels in the text or tables. The total randomized sample sizes were 42 in the observation/intervention group and 42 in the control group, but these are not reported for an IgG outcome. Since no post-intervention IgG means or SDs are available, the requested outcome cannot be extracted.",,,,,,,9.93,0.0,2850,489,3339
#18-17,deepseek,,"The article investigates the effect of Kanglaite injection on immune function in advanced NSCLC patients, reporting T cell subsets (CD3+, CD4+, CD8+, CD4+/CD8+) and adverse events. No immunoglobulin G (IgG) level or any immunoglobulin subclass (IgM, IgA, IgE) is mentioned. Therefore, the requested outcome is not available.",,,,,,,4.46,0.0,2618,211,2829
#18-17,final_consensus,,"The article reports immune-function outcomes including T-cell subsets CD3+, CD4+, CD8+, and CD4+/CD8+, plus clinical response and adverse reactions. It does not report IgG (Immunoglobulin G) levels in the text or tables. The total randomized sample sizes were 42 in the observation/intervention group and 42 in the control group, but these are not reported for an IgG outcome. Since no post-intervention IgG means or SDs are available, the requested outcome cannot be extracted.",,,,,,,14.39,0.0,5468,700,6168
#18-18,gpt,,"The article reports immune outcomes including serum T-cell subsets CD3+, CD4+, and CD8+, plus KPS score and treatment response. No Immunoglobulin G (IgG) outcome is reported before or after intervention. Although each study arm included 47 participants, these sample sizes apply to reported outcomes, not IgG. Therefore, no IgG post-intervention mean or SD can be extracted.",,,,,,,8.47,0.0,2604,525,3129
#18-18,deepseek,,"The article reports outcomes including T cell subsets (CD3+, CD4+, CD8+) and KPS score, but no immunoglobulin G (IgG) levels. There are no immunoglobulin-related outcomes (IgM, IgA, IgE, etc.) reported at all. Therefore, no matching outcome for IgG.",,,,,,,4.67,0.0,2406,237,2643
#18-18,final_consensus,,"The article reports immune outcomes including serum T-cell subsets CD3+, CD4+, and CD8+, plus KPS score and treatment response. No Immunoglobulin G (IgG) outcome is reported before or after intervention. Although each study arm included 47 participants, these sample sizes apply to reported outcomes, not IgG. Therefore, no IgG post-intervention mean or SD can be extracted.",,,,,,,13.14,0.0,5010,762,5772
#18-19,gpt,,"The article reports immune-function outcomes after treatment, but these are T-cell subgroup markers (CD3+, CD4+, CD8+, and CD4+/CD8+) in Table 6. No Immunoglobulin G (IgG) level is reported anywhere in the provided text. Other outcomes include clinical response, quality of life, cancer pain relief, and toxicities, none of which match IgG. Because the requested IgG outcome is not available, no post-intervention means, SDs, or sample sizes can be extracted for IgG.",,,,,,,10.71,0.0,3720,559,4279
#18-19,deepseek,,"The article reports immune function outcomes only as T-cell subsets (CD3+, CD4+, CD8+, CD4+/CD8+), and does not report IgG levels. No immunoglobulin G data are available. Therefore, the outcome is null.",,,,,,,13.05,0.0,3449,911,4360
#18-19,final_consensus,,"The article reports immune-function outcomes after treatment, but these are T-cell subgroup markers (CD3+, CD4+, CD8+, and CD4+/CD8+) in Table 6. No Immunoglobulin G (IgG) level is reported anywhere in the provided text. Other outcomes include clinical response, quality of life, cancer pain relief, and toxicities, none of which match IgG. Because the requested IgG outcome is not available, no post-intervention means, SDs, or sample sizes can be extracted for IgG.",,,,,,,23.76,0.0,7169,1470,8639
#18-20,gpt,,"The article reports immune function outcomes including CD3+, CD4+, CD8+, and CD4+/CD8+ before and after treatment. No IgG (Immunoglobulin G) level is reported anywhere in the text or tables. Although immune-related indicators are present, they do not strictly match the requested IgG outcome. Therefore, no sample sizes, post-intervention means, or SDs can be extracted for IgG.",,,,,,,8.52,0.0,3745,401,4146
#18-20,deepseek,,"The article reports immune function indicators such as CD3+, CD4+, CD8+, and CD4+/CD8+ ratios. There is no mention of IgG levels or any immunoglobulin-related outcomes. The outcome definition requires IgG level specifically; no matching outcome is found.",,,,,,,4.27,0.0,3421,230,3651
#18-20,final_consensus,,"The article reports immune function outcomes including CD3+, CD4+, CD8+, and CD4+/CD8+ before and after treatment. No IgG (Immunoglobulin G) level is reported anywhere in the text or tables. Although immune-related indicators are present, they do not strictly match the requested IgG outcome. Therefore, no sample sizes, post-intervention means, or SDs can be extracted for IgG.",,,,,,,12.79,0.0,7166,631,7797
#18-21,gpt,,"The article reports immune outcomes for T-cell subsets only: CD3+, CD4+, CD8+, and CD4+/CD8+, measured before and after treatment. It also reports pain relief outcomes. No Immunoglobulin G (IgG) level outcome is reported, so there are no matched post-intervention IgG means, SDs, or arm-specific sample sizes to extract.",,,,,,,8.85,0.0,2538,574,3112
#18-21,deepseek,,"The study only reports T-cell subsets (CD3+, CD4+, CD8+, CD4+/CD8+) and pain relief outcomes. No IgG (Immunoglobulin G) level is measured or reported. Hence, no data can be extracted.",,,,,,,11.24,0.0,2290,851,3141
#18-21,final_consensus,,"The article reports immune outcomes for T-cell subsets only: CD3+, CD4+, CD8+, and CD4+/CD8+, measured before and after treatment. It also reports pain relief outcomes. No Immunoglobulin G (IgG) level outcome is reported, so there are no matched post-intervention IgG means, SDs, or arm-specific sample sizes to extract.",,,,,,,20.09,0.0,4828,1425,6253
#18-22,gpt,,"The article reports immune function outcomes only as T-cell subsets (CD3+, CD4+, CD8+) before and after treatment. I checked the abstract, methods, results, and Table 3, and there is no Immunoglobulin G (IgG) level reported. Because the requested outcome strictly requires IgG and the reported immune markers do not match IgG, no outcome data can be extracted.",,,,,,,7.64,0.0,3448,338,3786
#18-22,deepseek,,"The article reports immune function outcomes, specifically T cell subsets (CD3+, CD4+, CD8+), but does not mention immunoglobulin G (IgG) levels or any immunoglobulin-related outcome. Therefore, no outcome matches the requested IgG level. According to instructions, return null for all fields.",,,,,,,7.4,0.0,3171,537,3708
#18-22,final_consensus,,"The article reports immune function outcomes only as T-cell subsets (CD3+, CD4+, CD8+) before and after treatment. I checked the abstract, methods, results, and Table 3, and there is no Immunoglobulin G (IgG) level reported. Because the requested outcome strictly requires IgG and the reported immune markers do not match IgG, no outcome data can be extracted.",,,,,,,15.04,0.0,6619,875,7494
#18-23,gpt,IgG level after intervention,"The article reports immunoglobulin outcomes including IgG, IgA, and IgM; IgG strictly matches the requested Immunoglobulin G outcome. The post-intervention data are in Table 2 under 化疗后 after two chemotherapy cycles. The intervention arm is the treatment group receiving Kanglaite injection plus chemotherapy, with n=34. The control arm received chemotherapy alone, with n=34. Post-intervention IgG was 9.80 ± 0.39 in the intervention group and 8.24 ± 0.27 in the control group.",9.80,0.39,34,8.24,0.27,34,6.0,0.0,4155,312,4467
#18-23,deepseek,IgG,"The article reports immunoglobulin G (IgG) levels as an outcome. The post-intervention data is presented in Table 2. The control group (chemotherapy only) has n=34, post-intervention mean IgG = 8.24, SD = 0.27. The intervention group (Kanglaite plus chemotherapy) has n=34, post-intervention mean IgG = 9.80, SD = 0.39.",9.80,0.39,34,8.24,0.27,34,9.73,0.0,3732,647,4379
#18-23,final_consensus,IgG level after intervention,"The article reports immunoglobulin outcomes including IgG, IgA, and IgM; IgG strictly matches the requested Immunoglobulin G outcome. The post-intervention data are in Table 2 under 化疗后 after two chemotherapy cycles. The intervention arm is the treatment group receiving Kanglaite injection plus chemotherapy, with n=34. The control arm received chemotherapy alone, with n=34. Post-intervention IgG was 9.80 ± 0.39 in the intervention group and 8.24 ± 0.27 in the control group.",9.80,0.39,34,8.24,0.27,34,15.73,0.0,7887,959,8846
#18-24,gpt,IgG level (mg/L) after intervention,"The article reports peripheral blood immunoglobulin outcomes including IgA, IgG, and IgM; IgG strictly matches the requested Immunoglobulin G outcome. Table 2 provides post-treatment IgG values after 2 treatment cycles for both arms. The study group (Kanglaite Injection plus chemotherapy) and control group (chemotherapy) each had n=32. Post-treatment IgG was 9.71±0.35 mg/L in the study group and 8.19±0.30 mg/L in the control group.",9.71,0.35,32,8.19,0.30,32,5.99,0.0,2808,304,3112
#18-24,deepseek,IgG level,"The article reports IgG level after treatment as an outcome. Table 2 shows IgG for study group (intervention) after treatment: mean = 9.71, SD = 0.35, n = 32. Control group after treatment: mean = 8.19, SD = 0.30, n = 32. These match the requested outcome definition exactly.",9.71,0.35,32,8.19,0.3,32,5.46,0.0,2572,310,2882
#18-24,final_human_override,IgG level (mg/L) after intervention,"The article reports peripheral blood immunoglobulin outcomes including IgA, IgG, and IgM; IgG strictly matches the requested Immunoglobulin G outcome. Table 2 provides post-treatment IgG values after 2 treatment cycles for both arms. The study group (Kanglaite Injection plus chemotherapy) and control group (chemotherapy) each had n=32. Post-treatment IgG was 9.71±0.35 mg/L in the study group and 8.19±0.30 mg/L in the control group.",9.71,0.35,32,8.19,0.30,32,11.45,68.12,5380,614,5994
#18-25,gpt,,"The article reports immune function outcomes including NK cell activity, CD4/CD8, CD4, and CD3, plus KPS quality-of-life scores. It does not report Immunoglobulin G (IgG) levels after intervention. Other immunoglobulin indicators are also not reported. Therefore, no outcome strictly matching IgG is available for extraction.",,,,,,,5.37,0.0,1700,231,1931
#18-25,deepseek,,"The article reports immune function outcomes such as NK cell activity, CD4/CD8, CD4, and CD3 percentages. There is no mention of IgG (Immunoglobulin G) levels or any immunoglobulin-specific outcomes. Therefore, the requested outcome is not available.",,,,,,,4.9,0.0,1587,289,1876
#18-25,final_consensus,,"The article reports immune function outcomes including NK cell activity, CD4/CD8, CD4, and CD3, plus KPS quality-of-life scores. It does not report Immunoglobulin G (IgG) levels after intervention. Other immunoglobulin indicators are also not reported. Therefore, no outcome strictly matching IgG is available for extraction.",,,,,,,10.27,0.0,3287,520,3807
#18-26,gpt,,"The article reports immune-function outcomes including T lymphocyte subsets CD3+, CD4+, CD8+, and CD4+/CD8+ before and after treatment. It does not report IgG (Immunoglobulin G) levels after intervention, nor any table or text value for IgG. Sample sizes are 24 per group overall, but no IgG-specific outcome is available. Therefore no post-intervention IgG means or SDs can be extracted.",,,,,,,7.98,0.0,2724,454,3178
#18-26,deepseek,,"The article reports outcomes on T lymphocyte subsets (CD3+, CD4+, CD8+) and adverse events, but does not report immunoglobulin G (IgG) levels. No outcome matches the requested definition.",,,,,,,5.56,0.0,2471,285,2756
#18-26,final_consensus,,"The article reports immune-function outcomes including T lymphocyte subsets CD3+, CD4+, CD8+, and CD4+/CD8+ before and after treatment. It does not report IgG (Immunoglobulin G) levels after intervention, nor any table or text value for IgG. Sample sizes are 24 per group overall, but no IgG-specific outcome is available. Therefore no post-intervention IgG means or SDs can be extracted.",,,,,,,13.54,0.0,5195,739,5934
#18-8,gpt,,"The article reports immune function outcomes only as T lymphocyte subsets (CD3+, CD4+, CD8+, CD4+/CD8+) before and after treatment. No Immunoglobulin G (IgG) level outcome is reported, and other immunoglobulin outcomes are not presented. Therefore, there is no strictly matching IgG outcome to extract. Although both arms had n=34 overall, these data are not applicable to an IgG outcome.",,,,,,,7.81,0.0,3456,427,3883
#18-8,deepseek,,"The article reports outcomes including T lymphocyte subsets (CD3+, CD4+, CD8+, CD4+/CD8+ ratio) but does not report immunoglobulin G (IgG) levels. No other immunoglobulin (IgM, IgA, IgE, total immunoglobulin) data are presented. Thus, no outcome matches the requested IgG level definition.",,,,,,,4.11,0.0,3171,196,3367
#18-8,final_consensus,,"The article reports immune function outcomes only as T lymphocyte subsets (CD3+, CD4+, CD8+, CD4+/CD8+) before and after treatment. No Immunoglobulin G (IgG) level outcome is reported, and other immunoglobulin outcomes are not presented. Therefore, there is no strictly matching IgG outcome to extract. Although both arms had n=34 overall, these data are not applicable to an IgG outcome.",,,,,,,11.92,0.0,6627,623,7250
#18-9,gpt,IgG level after intervention,"The article reports immunoglobulin outcomes including IgA, IgM, and IgG, and IgG strictly matches the requested outcome. Table 3 provides immunoglobulin indicators before and after treatment for both arms. The intervention arm is the research group receiving Kanglaite injection plus chemotherapy, with n=55; the control arm received chemotherapy alone, with n=55. For the post-intervention IgG level, the research group value is 9.8 ± 0.4, and the control group value is 8.0 ± 0.3.",9.8,0.4,55,8.0,0.3,55,4.66,0.0,2836,293,3129
#18-9,deepseek,IgG,,9.8,0.4,55,8.0,0.3,55,8.48,0.0,2602,498,3100
#18-9,final_consensus,IgG level after intervention,"The article reports immunoglobulin outcomes including IgA, IgM, and IgG, and IgG strictly matches the requested outcome. Table 3 provides immunoglobulin indicators before and after treatment for both arms. The intervention arm is the research group receiving Kanglaite injection plus chemotherapy, with n=55; the control arm received chemotherapy alone, with n=55. For the post-intervention IgG level, the research group value is 9.8 ± 0.4, and the control group value is 8.0 ± 0.3.",9.8,0.4,55,8.0,0.3,55,13.14,0.0,5438,791,6229
