id,model,outcome,cot,intervention_mean,intervention_sd,intervention_n,control_mean,control_sd,control_n,time,human_time,input_tokens,output_tokens,total_tokens
#18-10,gpt,,"The article reports immune function outcomes as CD3+, CD4+, and CD8+ before and after treatment. No IgA (Immunoglobulin A) outcome is reported, and no immunoglobulin outcome matching IgA is available. Although both arms had 50 participants, there are no IgA post-intervention means or SDs to extract. Therefore, the requested IgA level outcome cannot be extracted.",,,,,,,7.51,0,3168,546,3714
#18-10,deepseek,,"The article reports immune function outcomes, specifically T-cell subsets CD3+, CD4+, and CD8+. These are not immunoglobulin levels. The article does not report IgA, IgM, IgG, IgE, or any other immunoglobulin levels. Since the requested outcome IgA level is not reported, all extraction fields should be null.",,,,,,,6.56,0,2819,410,3229
#18-10,final_consensus,,"The article reports immune function outcomes as CD3+, CD4+, and CD8+ before and after treatment. No IgA (Immunoglobulin A) outcome is reported, and no immunoglobulin outcome matching IgA is available. Although both arms had 50 participants, there are no IgA post-intervention means or SDs to extract. Therefore, the requested IgA level outcome cannot be extracted.",,,,,,,14.07,0,5987,956,6943
#18-11,gpt,IgA level (g/L),"The article reports serum immunoglobulin outcomes including IgM, IgA, and IgG, and IgA strictly matches the requested outcome definition. Table 3 provides immunoglobulin levels before and after treatment in both groups. The intervention arm is the observation group receiving Kanglaite Injection plus GP chemotherapy, with n=43. The control arm received GP chemotherapy alone, with n=42. After intervention, IgA was 1.69 ± 0.16 g/L in the intervention group and 1.62 ± 0.11 g/L in the control group.",1.69,0.16,43,1.62,0.11,42,6.32,0,4909,391,5300
#18-11,deepseek,IgA level (Immunoglobulin A),,1.69,0.16,43,1.62,0.11,42,7.64,0,4483,514,4997
#18-11,final_consensus,IgA level (g/L),"The article reports serum immunoglobulin outcomes including IgM, IgA, and IgG, and IgA strictly matches the requested outcome definition. Table 3 provides immunoglobulin levels before and after treatment in both groups. The intervention arm is the observation group receiving Kanglaite Injection plus GP chemotherapy, with n=43. The control arm received GP chemotherapy alone, with n=42. After intervention, IgA was 1.69 ± 0.16 g/L in the intervention group and 1.62 ± 0.11 g/L in the control group.",1.69,0.16,43,1.62,0.11,42,13.96,0,9392,905,10297
#18-12,gpt,,"The article reports immune function outcomes only as T-lymphocyte subsets: CD3, CD4, CD8, and CD4/CD8 before and after treatment. It does not report IgA (Immunoglobulin A) levels after intervention. No immunoglobulin outcome matching IgA is presented. Although the trial randomized 36 patients to the intervention arm and 36 to the control arm, these sample sizes are not tied to an IgA outcome. Therefore, post-intervention IgA means and SDs cannot be extracted.",,,,,,,12.2,0,2331,829,3160
#18-12,deepseek,,"The article reports outcomes on T lymphocyte subsets (CD3, CD4, CD8, CD4/CD8) but does not measure or report IgA levels or any other immunoglobulin markers (IgM, IgG, IgE, etc.). No outcome matches the requested IgA definition.",,,,,,,5.31,0,2169,362,2531
#18-12,final_consensus,,"The article reports immune function outcomes only as T-lymphocyte subsets: CD3, CD4, CD8, and CD4/CD8 before and after treatment. It does not report IgA (Immunoglobulin A) levels after intervention. No immunoglobulin outcome matching IgA is presented. Although the trial randomized 36 patients to the intervention arm and 36 to the control arm, these sample sizes are not tied to an IgA outcome. Therefore, post-intervention IgA means and SDs cannot be extracted.",,,,,,,17.509999999999998,0,4500,1191,5691
#18-13,gpt,,"The article reports immune indicators CD3, CD4, CD8, CD4/CD8, and NK cell activity, as well as WBC, Hgb, PLT, quality of life, and tumor response. It does not report IgA immunoglobulin levels after intervention; IgM is also not reported. Therefore no outcome strictly matching IgA can be extracted. Although the overall sample sizes are treatment n=38 and control n=40, no IgA-specific means or SDs are available.",,,,,,,7.08,0,3363,529,3892
#18-13,deepseek,,"The article reports immune indicators including CD3, CD4, CD8, CD4/CD8, and NK cell activity after treatment in both groups. There is no mention of IgA, IgM, IgG, IgE, or total immunoglobulin levels. Therefore, the requested outcome IgA level (Immunoglobulin A) is not available in this study.",,,,,,,8.39,0,3078,594,3672
#18-13,final_consensus,,"The article reports immune indicators CD3, CD4, CD8, CD4/CD8, and NK cell activity, as well as WBC, Hgb, PLT, quality of life, and tumor response. It does not report IgA immunoglobulin levels after intervention; IgM is also not reported. Therefore no outcome strictly matching IgA can be extracted. Although the overall sample sizes are treatment n=38 and control n=40, no IgA-specific means or SDs are available.",,,,,,,15.47,0,6441,1123,7564
#18-14,gpt,,"The article reports immune-related outcomes after treatment including CD3+, CD4+, CD4+/CD8+, NK cells, and inflammatory markers IL-6, TNF-alpha, and C-reactive protein. It does not report Immunoglobulin A (IgA) levels at baseline or after intervention. Although immune indicators are present, none strictly match the requested IgA outcome. Each group had 53 patients overall, but because IgA was not reported, no outcome-specific post-intervention mean or SD can be extracted.",,,,,,,8.46,0,4889,642,5531
#18-14,deepseek,,"The article reports immune status outcomes including CD3+, CD4+, CD4+/CD8+, and NK cells, but does not report any immunoglobulin levels such as IgA, IgM, IgG, or IgE. Therefore, no IgA outcome data is available for extraction.",,,,,,,5.56,0,4466,288,4754
#18-14,final_consensus,,"The article reports immune-related outcomes after treatment including CD3+, CD4+, CD4+/CD8+, NK cells, and inflammatory markers IL-6, TNF-alpha, and C-reactive protein. It does not report Immunoglobulin A (IgA) levels at baseline or after intervention. Although immune indicators are present, none strictly match the requested IgA outcome. Each group had 53 patients overall, but because IgA was not reported, no outcome-specific post-intervention mean or SD can be extracted.",,,,,,,14.02,0,9355,930,10285
#18-15,gpt,,"The article was searched for immunoglobulin outcomes, specifically IgA (Immunoglobulin A). It reports tumor response, adverse events, KPS/body weight, and T-cell subsets (CD3, CD4, CD8, CD4/CD8) before and after treatment. No IgA outcome is reported, and no immunoglobulin-related IgA mean or SD values are provided. Although total group sizes are 39 in the intervention arm and 41 in the control arm, these are not sample sizes for a matched IgA outcome. Therefore, the requested IgA level after intervention cannot be extracted.",,,,,,,7.99,0,3826,510,4336
#18-15,deepseek,,"The article reports immune function indicators including T cell subsets (CD3, CD4, CD8, CD4/CD8) but does not report any immunoglobulin levels such as IgA, IgM, or IgG. Therefore, no outcome matching IgA level is present.",,,,,,,10.78,0,3571,783,4354
#18-15,final_consensus,,"The article was searched for immunoglobulin outcomes, specifically IgA (Immunoglobulin A). It reports tumor response, adverse events, KPS/body weight, and T-cell subsets (CD3, CD4, CD8, CD4/CD8) before and after treatment. No IgA outcome is reported, and no immunoglobulin-related IgA mean or SD values are provided. Although total group sizes are 39 in the intervention arm and 41 in the control arm, these are not sample sizes for a matched IgA outcome. Therefore, the requested IgA level after intervention cannot be extracted.",,,,,,,18.77,0,7397,1293,8690
#18-16,gpt,,"The article reports immune function outcomes including CD3, CD4, CD8, CD4/CD8, and NKT cell activity before and after treatment. No IgA (Immunoglobulin A) level outcome is reported. Although each randomized arm included 43 patients, there are no post-intervention IgA means or SDs to extract. Therefore, the requested IgA outcome does not strictly match any reported outcome.",,,,,,,8.76,0,3840,647,4487
#18-16,deepseek,,"The article reports immune function outcomes including T lymphocyte subsets (CD3, CD4, CD8, CD4/CD8) and NKT cell activity, but no immunoglobulin levels (IgA, IgM, IgG, IgE) are reported. Therefore, IgA level is not available.",,,,,,,10.26,0,3416,820,4236
#18-16,final_consensus,,"The article reports immune function outcomes including CD3, CD4, CD8, CD4/CD8, and NKT cell activity before and after treatment. No IgA (Immunoglobulin A) level outcome is reported. Although each randomized arm included 43 patients, there are no post-intervention IgA means or SDs to extract. Therefore, the requested IgA outcome does not strictly match any reported outcome.",,,,,,,19.02,0,7256,1467,8723
#18-17,gpt,,"The article reports immune-related outcomes as T-cell subsets (CD3+, CD4+, CD8+, CD4+/CD8+) before and after treatment, plus clinical efficacy and adverse events. I searched for immunoglobulin A/IgA outcomes and found none reported. No IgA mean, SD, or arm-specific post-intervention values are available. Although sample sizes are 42 per group overall, they are not for an IgA outcome. Therefore, the requested IgA level outcome cannot be extracted.",,,,,,,7.06,0,2850,410,3260
#18-17,deepseek,,"The article reports on immune function outcomes including T-cell subsets (CD3+, CD4+, CD8+, CD4+/CD8+), but does not measure IgA, IgM, IgG, or any immunoglobulins. Therefore, no outcome matches the requested IgA level, and the extraction returns null values.",,,,,,,5.84,0,2618,394,3012
#18-17,final_consensus,,"The article reports immune-related outcomes as T-cell subsets (CD3+, CD4+, CD8+, CD4+/CD8+) before and after treatment, plus clinical efficacy and adverse events. I searched for immunoglobulin A/IgA outcomes and found none reported. No IgA mean, SD, or arm-specific post-intervention values are available. Although sample sizes are 42 per group overall, they are not for an IgA outcome. Therefore, the requested IgA level outcome cannot be extracted.",,,,,,,12.899999999999999,0,5468,804,6272
#18-18,gpt,,"The article reports serum T-cell subset outcomes (CD3+, CD4+, CD8+) and KPS score, but it does not report Immunoglobulin A (IgA) levels. No immunoglobulin-related IgA post-intervention outcome is available. Although both study arms had 47 participants, these sample sizes are not tied to an IgA outcome. Therefore, no matched IgA mean or SD can be extracted.",,,,,,,8.64,0,2604,596,3200
#18-18,deepseek,,"The study reports only T cell subset percentages (CD3+, CD4+, CD8+) and KPS scores. No immunoglobulin A (IgA) levels are mentioned anywhere in the article. Since no outcome matches the requested IgA level, no data can be extracted.",,,,,,,6.42,0,2406,363,2769
#18-18,final_consensus,,"The article reports serum T-cell subset outcomes (CD3+, CD4+, CD8+) and KPS score, but it does not report Immunoglobulin A (IgA) levels. No immunoglobulin-related IgA post-intervention outcome is available. Although both study arms had 47 participants, these sample sizes are not tied to an IgA outcome. Therefore, no matched IgA mean or SD can be extracted.",,,,,,,15.06,0,5010,959,5969
