id,model,outcome,cot,intervention_mean,intervention_sd,intervention_n,control_mean,control_sd,control_n,time,human_time,input_tokens,output_tokens,total_tokens
#323-14,gpt,,"The article assesses cancer pain using WHO/NRS-based categories of pain relief after treatment: complete remission, partial remission, and no remission. It does not report post-intervention pain intensity scores as continuous mean values with standard deviations. Although pain-related categorical outcomes are provided for 44 patients per arm, they do not strictly match the requested pain intensity mean/SD outcome. Therefore, no extractable pain intensity mean and SD data are available.",,,,,,,8.09,0.0,4344,356,4700
#323-14,deepseek,,"The article reports cancer pain intensity using NRS, but only provides categorical outcomes (complete remission, partial remission, no remission) as counts and percentages. No post-intervention mean pain intensity scores or standard deviations are reported for either arm. Therefore, the defined continuous pain intensity outcome cannot be extracted.",,,,,,,11.23,0.0,4020,571,4591
#323-14,final_consensus,,"The article assesses cancer pain using WHO/NRS-based categories of pain relief after treatment: complete remission, partial remission, and no remission. It does not report post-intervention pain intensity scores as continuous mean values with standard deviations. Although pain-related categorical outcomes are provided for 44 patients per arm, they do not strictly match the requested pain intensity mean/SD outcome. Therefore, no extractable pain intensity mean and SD data are available.",,,,,,,19.32,0.0,8364,927,9291
#323-15,gpt,,"The article assesses cancer pain using the NRS, but reports only categorical improvement after treatment (complete improvement, partial improvement, no improvement), defined by change from baseline. It does not report post-intervention pain intensity scores as means with SDs for either group. Although total randomized sample sizes are 51 per arm, these do not correspond to an extractable continuous post-intervention pain intensity outcome. Therefore, the requested pain intensity mean/SD outcome is not available.",,,,,,,6.97,0.0,3442,287,3729
#323-15,deepseek,,"The article reports cancer pain improvement as categorized by NRS score change (complete, partial, no improvement). It does not provide post-intervention pain intensity means and SDs. Therefore, no continuous pain intensity outcome can be extracted.",,,,,,,17.2,0.0,3129,988,4117
#323-15,final_consensus,,"The article assesses cancer pain using the NRS, but reports only categorical improvement after treatment (complete improvement, partial improvement, no improvement), defined by change from baseline. It does not report post-intervention pain intensity scores as means with SDs for either group. Although total randomized sample sizes are 51 per arm, these do not correspond to an extractable continuous post-intervention pain intensity outcome. Therefore, the requested pain intensity mean/SD outcome is not available.",,,,,,,24.169999999999998,0.0,6571,1275,7846
#323-16,gpt,Pain intensity measured by VAS after intervention,"Pain intensity was assessed using the visual analogue scale (VAS), which strictly matches the requested pain intensity outcome. Table 2 reports VAS scores before and after treatment for both groups. The outcome after intervention is the '治疗后' VAS score. Sample sizes were 30 in the treatment group and 30 in the control group. Post-treatment means and SDs were 3.45 ± 1.11 for the intervention group and 5.72 ± 1.23 for the control group.",3.45,1.11,30,5.72,1.23,30,7.23,0.0,4367,340,4707
#323-16,deepseek,pain intensity (VAS),"The article reports pain intensity using VAS scores. Table 2 provides post-treatment VAS scores for both groups. The intervention group (treatment group) received Kanglaite injection plus chemotherapy, control group received chemotherapy alone. The mean post-treatment VAS for intervention is 3.45 with SD 1.11 and n=30. For control, mean is 5.72 with SD 1.23 and n=30.",3.45,1.11,30,5.72,1.23,30,8.21,0.0,3961,518,4479
#323-16,final_consensus,Pain intensity measured by VAS after intervention,"Pain intensity was assessed using the visual analogue scale (VAS), which strictly matches the requested pain intensity outcome. Table 2 reports VAS scores before and after treatment for both groups. The outcome after intervention is the '治疗后' VAS score. Sample sizes were 30 in the treatment group and 30 in the control group. Post-treatment means and SDs were 3.45 ± 1.11 for the intervention group and 5.72 ± 1.23 for the control group.",3.45,1.11,30,5.72,1.23,30,15.440000000000001,0.0,8328,858,9186
#323-17,gpt,,"The article assesses bone pain using VRS grades and reports analgesic response categories after treatment: markedly effective, effective, ineffective, and total effective rate. It does not report post-intervention pain intensity as a continuous mean with SD for either group. The only continuous post-treatment data are KPS quality-of-life scores, which do not match pain intensity. Therefore, no strictly matching pain intensity outcome with mean and SD is available.",,,,,,,7.29,0.0,2630,334,2964
