id,model,outcome,cot,intervention_event,intervention_n,control_event,control_n,time,human_time,input_tokens,output_tokens,total_tokens
#323-14,gpt,liver function impairment,,,,,,3.93,0,4174,149,4323
#323-14,deepseek,liver function impairment,,,,,,8.46,0,3839,336,4175
#323-14,final_consensus,liver function impairment,,,,,,12.39,0,8013,485,8498
#323-15,gpt,肝损伤,,3,51,6,51,3.87,0,3272,138,3410
#323-15,deepseek,liver function impairment,,3,51,6,51,5.36,0,2948,261,3209
#323-15,final_consensus,肝损伤,,3,51,6,51,9.23,0,6220,399,6619
#323-16,gpt,liver function impairment,,,,,,3.24,0,4197,94,4291
#323-16,deepseek,liver function impairment,,,,,,10.81,0,3780,546,4326
#323-16,final_consensus,liver function impairment,,,,,,14.05,0,7977,640,8617
#323-17,gpt,,,,,,,5.08,0,2460,228,2688
#323-17,deepseek,,,,,,,14.63,0,2154,727,2881
#323-17,final_consensus,,,,,,,19.71,0,4614,955,5569
#323-18,gpt,liver function impairment,,,,,,3.2,0,3198,102,3300
#323-18,deepseek,liver function impairment,,,,,,5.3,0,2959,221,3180
#323-18,final_consensus,liver function impairment,,,,,,8.5,0,6157,323,6480
#323-19,gpt,liver function impairment,,,,,,3.9,0,1619,166,1785
#323-19,deepseek,liver function impairment,,,,,,29.87,0,1418,1679,3097
#323-19,final_consensus,liver function impairment,,,,,,33.77,0,3037,1845,4882
#323-20,gpt,liver function impairment,,,,,,5.07,0,1485,197,1682
#323-20,deepseek,liver function impairment,,,,,,7.28,0,1312,346,1658
#323-20,final_consensus,liver function impairment,,,,,,12.350000000000001,0,2797,543,3340
#323-21,gpt,,,,,,,3.09,0,2273,94,2367
#323-21,deepseek,liver function impairment,,,,,,9.24,0,2086,507,2593
#323-21,final_consensus,,,,,,,12.33,0,4359,601,4960
#323-22,gpt,liver function impairment (grade ≥1),,3,34,11,32,4.98,0,2343,189,2532
#323-22,deepseek,liver function impairment,,3,34,11,32,9.52,0,2099,563,2662
#323-22,final_consensus,liver function impairment (grade ≥1),,3,34,11,32,14.5,0,4442,752,5194
#323-23,gpt,liver function impairment,,,,,,4.45,0,3427,125,3552
#323-23,deepseek,,,,,,,8.49,0,3056,433,3489
#323-23,final_consensus,liver function impairment,,,,,,12.940000000000001,0,6483,558,7041
#323-24,gpt,liver function impairment (transaminase elevation grade ≥1),,3,31,7,26,4.63,0,2362,167,2529
#323-24,deepseek,liver function impairment,,3,31,7,26,12.16,0,2146,687,2833
#323-24,final_consensus,liver function impairment (transaminase elevation grade ≥1),,3,31,7,26,16.79,0,4508,854,5362
#323-25,gpt,liver function impairment,,,,,,4.14,0,2448,93,2541
#323-25,deepseek,,,,,,,7.23,0,2292,349,2641
#323-25,final_consensus,liver function impairment,,,,,,11.370000000000001,0,4740,442,5182
#323-26,gpt,liver function impairment,,5,30,12,30,3.19,0,6099,94,6193
#323-26,deepseek,liver function impairment,,5,30,12,30,6.07,0,5467,232,5699
#323-26,final_consensus,liver function impairment,,5,30,12,30,9.26,0,11566,326,11892
#323-27,gpt,liver function impairment,,,,,,5.28,0,2402,264,2666
#323-27,deepseek,liver function impairment,,,,,,6.26,0,2111,220,2331
#323-27,final_consensus,liver function impairment,,,,,,11.54,0,4513,484,4997
#323-28,gpt,liver function impairment (grade ≥1),,2,22,2,21,3.38,0,2622,134,2756
#323-28,deepseek,liver function impairment,,2,22,2,21,5.43,0,2364,299,2663
#323-28,final_consensus,liver function impairment (grade ≥1),,2,22,2,21,8.809999999999999,0,4986,433,5419
#323-29,gpt,,,,,,,3.1,0,3310,80,3390
#323-29,deepseek,,,,,,,6.67,0,3006,378,3384
#323-29,final_consensus,,,,,,,9.77,0,6316,458,6774
#323-30,gpt,liver function impairment,,,,,,3.08,0,3141,108,3249
#323-30,deepseek,,,,,,,5.86,0,2850,288,3138
#323-30,final_consensus,liver function impairment,,,,,,8.940000000000001,0,5991,396,6387
#323-31,gpt,liver function impairment (grade ≥1),,3,30,2,30,3.58,0,2735,134,2869
#323-31,deepseek,liver function impairment,,3,30,2,30,5.37,0,2526,259,2785
#323-31,final_consensus,liver function impairment (grade ≥1),,3,30,2,30,8.95,0,5261,393,5654
