id,model,outcome,cot,intervention_event,intervention_n,control_event,control_n,time,human_time,input_tokens,output_tokens,total_tokens
#140-10,gpt,胃肠道反应,,19,30,11,30,3.78,0.0,4064,124,4188
#140-10,deepseek,胃肠道反应,,19,30,11,30,5.5,0.0,3672,309,3981
#140-10,final_consensus,胃肠道反应,,19,30,11,30,9.28,0.0,7736,433,8169
#140-11,gpt,,,,,,,4.28,0.0,3092,149,3241
#140-11,deepseek,,,,,,,4.98,0.0,2712,257,2969
#140-11,final_consensus,,,,,,,9.260000000000002,0.0,5804,406,6210
#140-12,gpt,,,,,,,1.57,0.0,2308,60,2368
#140-12,deepseek,,,,,,,3.26,0.0,2009,161,2170
#140-12,final_consensus,,,,,,,4.83,0.0,4317,221,4538
#140-13,gpt,胃肠道反应,,25,36,11,36,2.22,0.0,2846,101,2947
#140-13,deepseek,胃肠道反应,,25,36,11,36,3.29,0.0,2566,191,2757
#140-13,final_consensus,胃肠道反应,,25,36,11,36,5.51,0.0,5412,292,5704
#140-14,gpt,胃肠道反应,,26,30,24,32,6.97,0.0,3199,362,3561
#140-14,deepseek,胃肠道反应,,26,30,24,32,12.26,0.0,2814,858,3672
#140-14,final_consensus,胃肠道反应,,26,30,24,32,19.23,0.0,6013,1220,7233
#140-15,gpt,胃肠道反应,,34,39,31,41,6.04,0.0,3680,290,3970
#140-15,deepseek,胃肠道反应,,34,39,31,41,7.05,0.0,3290,514,3804
#140-15,final_consensus,胃肠道反应,,34,39,31,41,13.09,0.0,6970,804,7774
#140-16,gpt,,,,,,,9.53,0.0,5311,555,5866
#140-16,deepseek,,,,,,,7.31,0.0,4820,380,5200
#140-16,final_consensus,,,,,,,16.84,0.0,10131,935,11066
#140-17,gpt,,,,,,,3.14,0.0,2852,153,3005
#140-17,deepseek,,,,,,,5.82,0.0,2467,429,2896
#140-17,final_consensus,,,,,,,8.96,0.0,5319,582,5901
#140-6,gpt,,,,,,,2.17,0.0,3042,55,3097
#140-6,deepseek,,,,,,,2.35,0.0,2740,80,2820
#140-6,final_consensus,,,,,,,4.52,0.0,5782,135,5917
#140-7,gpt,,,,,,,7.0,0.0,6711,485,7196
#140-7,deepseek,胃肠道反应,,17,64,12,63,9.06,0.0,6252,633,6885
#140-7,final_human_override,,,,,,,16.060000000000002,58.78,12963,1118,14081
#140-8,gpt,胃肠道反应,,21,34,19,34,3.19,0.0,3969,158,4127
#140-8,deepseek,胃肠道反应,,21,34,19,34,5.79,0.0,3554,387,3941
#140-8,final_consensus,胃肠道反应,,21,34,19,34,8.98,0.0,7523,545,8068
#140-9,gpt,胃肠道反应,,36,48,27,48,3.71,0.0,3748,166,3914
#140-9,deepseek,胃肠道反应,,36,48,27,48,5.76,0.0,3258,488,3746
#140-9,final_consensus,胃肠道反应,,36,48,27,48,9.469999999999999,0.0,7006,654,7660
