id,model,outcome,cot,intervention_event,intervention_n,control_event,control_n,time,human_time,input_tokens,output_tokens,total_tokens
#111-11,gpt,肝肾功能损害,,16,49,22,49,4.18,0,4470,133,4603
#111-11,deepseek,肝肾功能损伤,,16,49,22,49,6.09,0,4015,256,4271
#111-11,final_consensus,肝肾功能损害,,16,49,22,49,10.27,0,8485,389,8874
#111-12,gpt,,,,,,,2.86,0,4242,82,4324
#111-12,deepseek,,,,,,,3.19,0,3836,125,3961
#111-12,final_consensus,,,,,,,6.05,0,8078,207,8285
#111-13,gpt,肝肾功能损伤,,11,35,18,35,2.59,0,3670,150,3820
#111-13,deepseek,肝肾功能损伤,,11,35,18,35,4.32,0,3284,290,3574
#111-13,final_consensus,肝肾功能损伤,,11,35,18,35,6.91,0,6954,440,7394
#111-14,gpt,,,,,,,2.89,0,3340,69,3409
#111-14,deepseek,,,,,,,1.85,0,2920,73,2993
#111-14,final_consensus,,,,,,,4.74,0,6260,142,6402
#111-15,gpt,,,,,,,1.99,0,4975,89,5064
#111-15,deepseek,,,,,,,3.83,0,4569,174,4743
#111-15,final_consensus,,,,,,,5.82,0,9544,263,9807
#111-16,gpt,,,,,,,2.15,0,3555,96,3651
#111-16,deepseek,,,,,,,5.3,0,3143,409,3552
#111-16,final_consensus,,,,,,,7.449999999999999,0,6698,505,7203
#111-17,gpt,,,,,,,3.36,0,4430,105,4535
#111-17,deepseek,,,,,,,3.32,0,3939,139,4078
#111-17,final_consensus,,,,,,,6.68,0,8369,244,8613
