id,model,outcome,cot,intervention_event,intervention_n,control_event,control_n,time,human_time,input_tokens,output_tokens,total_tokens
#31-10,gpt,尿素氮异常,,0,64,1,63,9.51,0,6630,553,7183
#31-10,deepseek,肾功能损伤,,0,64,1,63,10.48,0,6186,798,6984
#31-10,final_consensus,尿素氮异常,,0,64,1,63,19.990000000000002,0,12816,1351,14167
#31-11,gpt,肾功损害,,1,16,2,18,3.62,0,3381,143,3524
#31-11,deepseek,肾功损害,,1,16,2,18,4.33,0,3049,232,3281
#31-11,final_consensus,肾功损害,,1,16,2,18,7.95,0,6430,375,6805
#31-12,gpt,肾功能损害,,1,39,1,41,2.97,0,3605,164,3769
#31-12,deepseek,肾功能损害,,1,39,1,41,3.33,0,3223,235,3458
#31-12,final_consensus,肾功能损害,,1,39,1,41,6.300000000000001,0,6828,399,7227
#31-13,gpt,,,,,,,2.49,0,3938,104,4042
#31-13,deepseek,,,,,,,3.04,0,3343,136,3479
#31-13,final_consensus,,,,,,,5.53,0,7281,240,7521
#31-14,gpt,肾功能损害,,1,30,1,32,3.07,0,3144,138,3282
#31-14,deepseek,肾功能损伤,,1,30,1,32,4.99,0,2766,353,3119
#31-14,final_consensus,肾功能损害,,1,30,1,32,8.06,0,5910,491,6401
#31-15,gpt,,,,,,,2.53,0,3602,125,3727
#31-15,deepseek,,,,,,,2.73,0,3161,118,3279
#31-15,final_consensus,,,,,,,5.26,0,6763,243,7006
#31-16,gpt,BUN↑,,0,32,1,30,6.52,0,2842,461,3303
#31-16,deepseek,肾功能损伤,,0,32,1,30,8.34,0,2554,622,3176
#31-16,final_consensus,BUN↑,,0,32,1,30,14.86,0,5396,1083,6479
#31-17,gpt,肾功能损伤,,1,28,1,30,3.32,0,2933,115,3048
#31-17,deepseek,肾功能损伤,,1,28,1,30,3.21,0,2531,177,2708
#31-17,final_consensus,肾功能损伤,,1,28,1,30,6.529999999999999,0,5464,292,5756
#31-4,gpt,肾功能异常,,0,41,0,41,3.03,0,3090,130,3220
#31-4,deepseek,肾功能损伤,,0,41,0,41,3.44,0,2670,222,2892
#31-4,final_consensus,肾功能异常,,0,41,0,41,6.47,0,5760,352,6112
#31-5,gpt,,,,,,,2.68,0,3889,69,3958
#31-5,deepseek,,,,,,,2.26,0,3487,73,3560
#31-5,final_consensus,,,,,,,4.9399999999999995,0,7376,142,7518
#31-6,gpt,,,,,,,1.95,0,3690,89,3779
#31-6,deepseek,,,,,,,2.34,0,3209,82,3291
#31-6,final_consensus,,,,,,,4.29,0,6899,171,7070
#31-7,gpt,肾功能损害,,1,50,2,50,3.19,0,4924,115,5039
#31-7,deepseek,肾功能损伤,,1,50,2,50,4.42,0,4533,247,4780
#31-7,final_consensus,肾功能损害,,1,50,2,50,7.609999999999999,0,9457,362,9819
#31-8,gpt,Renal function injury,,1,39,1,41,3.16,0,4263,149,4412
#31-8,deepseek,肾功能损伤,,1,39,1,41,4.66,0,3895,379,4274
#31-8,final_consensus,Renal function injury,,1,39,1,41,7.82,0,8158,528,8686
#31-9,gpt,肾功能损害,,2,36,3,36,3.11,0,3491,148,3639
#31-9,deepseek,肾功能损伤,,2,36,3,36,7.34,0,3025,484,3509
#31-9,final_consensus,肾功能损害,,2,36,3,36,10.45,0,6516,632,7148
