id,model,outcome,cot,intervention_mean,intervention_sd,intervention_n,control_mean,control_sd,control_n,time,human_time,input_tokens,output_tokens,total_tokens
#27-15,gpt,,"The article reports clinical efficacy (CR/PR/SD/PD), KPS quality-of-life categories, and adverse reactions such as leukopenia, thrombocytopenia, nausea/vomiting, and liver/renal function impairment. I checked for immune outcomes and specifically for the CD4+/CD8+ T-cell ratio after intervention, but no CD4+/CD8+ ratio or related T-cell subset data are reported. The study sample sizes are 35 per group overall, but they are not tied to any CD4+/CD8+ outcome because that outcome is absent. No post-intervention means or SDs for CD4+/CD8+ ratio are available. Therefore, the requested outcome cannot be extracted.",,,,,,,13.56,0,3163,570,3733
#27-15,deepseek,,"The study evaluates Kanglaite combined with GP chemotherapy vs GP alone for advanced NSCLC. Outcomes reported are clinical response rates, KPS quality of life scores, and adverse events (bone marrow suppression, gastrointestinal reactions, hepatic/renal impairment). There is no mention of CD4+/CD8+ T-cell ratio or any T-lymphocyte subset analysis. Thus, the requested outcome is not available in this article.",,,,,,,8.39,0,2916,634,3550
#27-15,final_consensus,,"The article reports clinical efficacy (CR/PR/SD/PD), KPS quality-of-life categories, and adverse reactions such as leukopenia, thrombocytopenia, nausea/vomiting, and liver/renal function impairment. I checked for immune outcomes and specifically for the CD4+/CD8+ T-cell ratio after intervention, but no CD4+/CD8+ ratio or related T-cell subset data are reported. The study sample sizes are 35 per group overall, but they are not tied to any CD4+/CD8+ outcome because that outcome is absent. No post-intervention means or SDs for CD4+/CD8+ ratio are available. Therefore, the requested outcome cannot be extracted.",,,,,,,21.950000000000003,0,6079,1204,7283
#27-16,gpt,,"The requested outcome is the CD4+/CD8+ T-cell ratio after intervention. I reviewed the article outcomes: clinical efficacy (CR/PR/SD/PD, RR, DCR), KPS quality-of-life improvement, and 1-year event-free survival/median survival. No CD4+/CD8+ T-cell ratio or other T-cell subset immune outcome is reported. Therefore, no matched outcome data, sample sizes, means, or SDs can be extracted.",,,,,,,10.51,0,2922,250,3172
#27-16,deepseek,,"The article evaluates Kanglaite combined with GP regimen for advanced non-small cell lung cancer. Outcomes reported include clinical response (CR, PR, SD, PD, RR, DCR), quality of life (KPS improvement rate), and 1-year event-free survival. No CD4+/CD8+ T-cell ratio or any T-cell subset data are reported. Therefore, the requested outcome is not present.",,,,,,,4.02,0,2712,224,2936
#27-16,final_consensus,,"The requested outcome is the CD4+/CD8+ T-cell ratio after intervention. I reviewed the article outcomes: clinical efficacy (CR/PR/SD/PD, RR, DCR), KPS quality-of-life improvement, and 1-year event-free survival/median survival. No CD4+/CD8+ T-cell ratio or other T-cell subset immune outcome is reported. Therefore, no matched outcome data, sample sizes, means, or SDs can be extracted.",,,,,,,14.53,0,5634,474,6108
#27-17,gpt,CD4+/CD8+ T-cell ratio after intervention,"The article reports T-cell subgroup outcomes including CD3+, CD4+, CD8+, and CD4+/CD8+ ratio before and after chemotherapy; the requested CD4+/CD8+ T-cell ratio is explicitly reported. The matched post-intervention outcome is in Table 3 under “治疗后” for CD4+/CD8+. The intervention arm is the observation group receiving GP plus Kanglaite injection, with n=70. The control arm received GP alone, with n=67. After intervention, the CD4+/CD8+ ratio was 1.27±0.21 in the intervention group and 1.13±0.16 in the control group.",1.27,0.21,70,1.13,0.16,67,6.04,0,5094,408,5502
#27-17,deepseek,CD4+/CD8+ T-cell ratio,"The article reports CD4+/CD8+ T-cell ratio after treatment. Table 3 provides post-chemotherapy values: observation group (intervention) mean 1.27, SD 0.21, n=70; control group mean 1.13, SD 0.16, n=67. These directly match the requested outcome.",1.27,0.21,70,1.13,0.16,67,17.7,0,4752,1265,6017
#27-17,final_consensus,CD4+/CD8+ T-cell ratio after intervention,"The article reports T-cell subgroup outcomes including CD3+, CD4+, CD8+, and CD4+/CD8+ ratio before and after chemotherapy; the requested CD4+/CD8+ T-cell ratio is explicitly reported. The matched post-intervention outcome is in Table 3 under “治疗后” for CD4+/CD8+. The intervention arm is the observation group receiving GP plus Kanglaite injection, with n=70. The control arm received GP alone, with n=67. After intervention, the CD4+/CD8+ ratio was 1.27±0.21 in the intervention group and 1.13±0.16 in the control group.",1.27,0.21,70,1.13,0.16,67,23.74,0,9846,1673,11519
#27-18,gpt,,"The requested outcome is the CD4+/CD8+ T-cell ratio after intervention. The article reports T lymphocyte subgroup values for CD3, CD4, and CD8 before and after treatment, but it does not report the CD4+/CD8+ ratio itself. Although post-treatment CD4 and CD8 values are available for both groups, calculating a ratio from separately reported means would not be the reported CD4+/CD8+ ratio and would not provide a valid SD. Therefore, no strictly matching outcome is available for extraction.",,,,,,,14.82,0,3583,644,4227
