id,model,outcome,cot,intervention_event,intervention_n,control_event,control_n,time,human_time,input_tokens,output_tokens,total_tokens
#323-14,gpt,,,,,,,3.03,0,4851,54,4905
#323-14,deepseek,,,,,,,6.15,0,4394,210,4604
#323-14,final_consensus,,,,,,,9.18,0,9245,264,9509
#323-15,gpt,肝损伤,,3,51,6,51,4.24,0,3949,147,4096
#323-15,deepseek,肝功能损伤,,3,51,6,51,13.1,0,3503,647,4150
#323-15,final_consensus,肝损伤,,3,51,6,51,17.34,0,7452,794,8246
#323-16,gpt,,,,,,,3.74,0,4874,56,4930
#323-16,deepseek,,,,,,,2.9,0,4335,100,4435
#323-16,final_consensus,,,,,,,6.640000000000001,0,9209,156,9365
#323-17,gpt,,,,,,,3.09,0,3137,115,3252
#323-17,deepseek,,,,,,,3.77,0,2709,132,2841
#323-17,final_consensus,,,,,,,6.859999999999999,0,5846,247,6093
#323-18,gpt,,,,,,,3.45,0,3875,73,3948
#323-18,deepseek,,,,,,,4.69,0,3514,233,3747
#323-18,final_consensus,,,,,,,8.14,0,7389,306,7695
#323-19,gpt,,,,,,,2.82,0,2296,125,2421
#323-19,deepseek,,,,,,,7.37,0,1973,412,2385
#323-19,final_consensus,,,,,,,10.19,0,4269,537,4806
#323-20,gpt,,,,,,,3.24,0,2162,57,2219
#323-20,deepseek,,,,,,,2.78,0,1867,105,1972
#323-20,final_consensus,,,,,,,6.02,0,4029,162,4191
#323-21,gpt,,,,,,,2.02,0,2950,55,3005
#323-21,deepseek,,,,,,,2.23,0,2641,56,2697
#323-21,final_consensus,,,,,,,4.25,0,5591,111,5702
#323-22,gpt,肝功能损害,,3,34,11,32,4.01,0,3020,213,3233
#323-22,deepseek,肝功能损害,,3,34,11,32,3.97,0,2654,228,2882
#323-22,final_consensus,肝功能损害,,3,34,11,32,7.98,0,5674,441,6115
#323-23,gpt,,,,,,,3.14,0,4104,81,4185
#323-23,deepseek,,,,,,,2.72,0,3611,90,3701
#323-23,final_consensus,,,,,,,5.86,0,7715,171,7886
#323-24,gpt,转氨酶升高,,3,31,7,26,13.03,0,3039,818,3857
#323-24,deepseek,肝功能损伤,,3,31,7,26,6.15,0,2701,287,2988
#323-24,final_consensus,转氨酶升高,,3,31,7,26,19.18,0,5740,1105,6845
#323-25,gpt,,,,,,,2.8,0,3125,55,3180
#323-25,deepseek,,,,,,,3.83,0,2847,195,3042
#323-25,final_consensus,,,,,,,6.63,0,5972,250,6222
#323-26,gpt,肝功能受损、异常,,5,30,12,30,5.2,0,6776,245,7021
#323-26,deepseek,肝功能损伤,,5,30,12,30,5.9,0,6022,201,6223
#323-26,final_consensus,肝功能受损、异常,,5,30,12,30,11.100000000000001,0,12798,446,13244
#323-27,gpt,,,,,,,4.19,0,3079,146,3225
#323-27,deepseek,,,,,,,4.41,0,2666,175,2841
#323-27,final_consensus,,,,,,,8.600000000000001,0,5745,321,6066
#323-28,gpt,肝脏毒性,,2,22,2,21,4.1,0,3299,189,3488
#323-28,deepseek,肝功能损伤,,2,22,2,21,4.7,0,2919,214,3133
#323-28,final_consensus,肝脏毒性,,2,22,2,21,8.8,0,6218,403,6621
#323-29,gpt,,,,,,,2.36,0,3987,69,4056
#323-29,deepseek,,,,,,,5.27,0,3561,250,3811
#323-29,final_consensus,,,,,,,7.629999999999999,0,7548,319,7867
#323-30,gpt,,,,,,,2.96,0,3818,67,3885
#323-30,deepseek,,,,,,,3.19,0,3405,116,3521
#323-30,final_consensus,,,,,,,6.15,0,7223,183,7406
#323-31,gpt,肝脏毒性,,3,30,2,30,4.14,0,3412,205,3617
#323-31,deepseek,肝功能损伤,,3,30,2,30,7.53,0,3081,494,3575
#323-31,final_consensus,肝脏毒性,,3,30,2,30,11.67,0,6493,699,7192
