id,model,outcome,cot,intervention_event,intervention_n,control_event,control_n,time,human_time,input_tokens,output_tokens,total_tokens
#328-1,gpt,,"The article reports short-term tumor response after 4 weeks/4 cycles, KPS improvement, and adverse reactions. It mentions expected survival time >3 months as an eligibility criterion, but does not report survival status at 1 year. No 1-year survival rate or number of patients alive 1 year after treatment is provided for either arm. Therefore, there is no outcome that strictly matches the requested definition, and event counts cannot be extracted.",,,,,5.29,0,3741,246,3987
#328-1,deepseek,,"The article reports on a randomized trial comparing Kanglaite injection plus GP versus GP alone for advanced NSCLC. Outcomes reported include short-term response rates after 4 weeks, KPS improvement, and adverse events. No survival data, including 1-year survival rate, are mentioned anywhere in the text. Therefore, the required outcome is not available.",,,,,6.76,0,3426,317,3743
#328-1,final_consensus,,"The article reports short-term tumor response after 4 weeks/4 cycles, KPS improvement, and adverse reactions. It mentions expected survival time >3 months as an eligibility criterion, but does not report survival status at 1 year. No 1-year survival rate or number of patients alive 1 year after treatment is provided for either arm. Therefore, there is no outcome that strictly matches the requested definition, and event counts cannot be extracted.",,,,,12.05,0,7167,563,7730
#328-11,gpt,,"The article reports short-term tumor response (CR/PR/NC/PD), progression rate, quality of life, T-cell subsets, and adverse reactions. It does not report any 1-year survival rate or the number of patients alive 1 year after treatment. Although the randomized groups each included 36 patients, these sample sizes are not tied to a matched 1-year survival outcome. Therefore, no event counts for 1-year survival can be extracted.",,,,,5.23,0,2195,218,2413
#328-11,deepseek,,"The article reports on a randomized controlled trial comparing Kanglaite injection plus chemotherapy vs chemotherapy alone for elderly non-small cell lung cancer. The outcomes reported include response rate (CR+PR), disease progression rate, quality of life, T lymphocyte subsets, and toxicity. No survival data are reported, and specifically there is no mention of 1-year survival rate. Therefore, the requested outcome is not available.",,,,,7.97,0,2049,427,2476
#328-11,final_consensus,,"The article reports short-term tumor response (CR/PR/NC/PD), progression rate, quality of life, T-cell subsets, and adverse reactions. It does not report any 1-year survival rate or the number of patients alive 1 year after treatment. Although the randomized groups each included 36 patients, these sample sizes are not tied to a matched 1-year survival outcome. Therefore, no event counts for 1-year survival can be extracted.",,,,,13.2,0,4244,645,4889
#328-12,gpt,,"The article reports survival-related data only as median survival time: 10.5 months in the Kanglaite plus docetaxel group and 9.8 months in the docetaxel-alone group. It does not report a 1-year survival rate or the number of patients alive 1 year after treatment. Although the randomized arm sizes were 41 and 41, there is no matched 1-year survival outcome with event counts. Therefore, the requested outcome cannot be extracted.",,,,,5.14,0,3291,276,3567
#328-12,deepseek,,"The article reports median survival times (10.5 months for the combination group and 9.8 months for the docetaxel group) and does not provide 1-year survival rates or any other time-specific survival proportions. No Kaplan-Meier curves or 1-year survival percentages are presented. Therefore, the requested outcome measure (1-year survival rate) is not available.",,,,,7.28,0,3046,300,3346
#328-12,final_consensus,,"The article reports survival-related data only as median survival time: 10.5 months in the Kanglaite plus docetaxel group and 9.8 months in the docetaxel-alone group. It does not report a 1-year survival rate or the number of patients alive 1 year after treatment. Although the randomized arm sizes were 41 and 41, there is no matched 1-year survival outcome with event counts. Therefore, the requested outcome cannot be extracted.",,,,,12.42,0,6337,576,6913
#328-13,gpt,,"The article reports outcomes including short-term tumor response after 3 treatment cycles, KPS quality-of-life response, and chemotherapy toxicities. I found no reported 1-year survival rate or number of patients alive 1 year after treatment. The randomized groups each included 31 patients, but these sample sizes are only tied to response/toxicity outcomes, not a 1-year survival outcome. Because no outcome strictly matches the requested definition, event counts for 1-year survival cannot be extracted.",,,,,5.3,0,2422,231,2653
